system_id,aggregation_type,mean,min,max,count,invalid_count,p05,p10,p20,p25,p30,p50,p80,p90,p95,p99,perturbation,fraction_species_perturbable,threshold
BIOMD0000000005,model,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.001
BIOMD0000000005,model,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.001
BIOMD0000000005,model,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,1.0,0.001
BIOMD0000000005,model,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,1.0,0.001
BIOMD0000000005,model,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001
BIOMD0000000005,model,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.001
BIOMD0000000005,model,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.001
BIOMD0000000005,model,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.001
BIOMD0000000005,model,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.001
BIOMD0000000010,model,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.001
BIOMD0000000010,model,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.001
BIOMD0000000010,model,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,1.0,0.001
BIOMD0000000010,model,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,1.0,0.001
BIOMD0000000010,model,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001
BIOMD0000000010,model,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.001
BIOMD0000000010,model,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.001
BIOMD0000000010,model,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.001
BIOMD0000000010,model,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.001
BIOMD0000000042,model,0.0,0.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.001
BIOMD0000000042,model,0.0,0.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.001
BIOMD0000000042,model,0.0,0.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,1.0,0.001
BIOMD0000000042,model,0.0,0.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,1.0,0.001
BIOMD0000000042,model,0.0,0.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001
BIOMD0000000042,model,0.0,0.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.001
BIOMD0000000042,model,0.0,0.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.001
BIOMD0000000042,model,0.0,0.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.001
BIOMD0000000042,model,0.0,0.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.001
BIOMD0000000234,model,0.0689869469224408,0.0,0.1379738938448817,2,0,0.006898694692244,0.0137973893844881,0.0275947787689763,0.0344934734612204,0.0413921681534645,0.0689869469224408,0.1103791150759053,0.1241765044603935,0.1310751991526376,0.1365941549064329,-0.5,1.0,0.001
BIOMD0000000234,model,0.0689869469224408,0.0,0.1379738938448817,2,0,0.006898694692244,0.0137973893844881,0.0275947787689763,0.0344934734612204,0.0413921681534645,0.0689869469224408,0.1103791150759053,0.1241765044603935,0.1310751991526376,0.1365941549064329,-0.2,1.0,0.001
BIOMD0000000234,model,0.0689869469224408,0.0,0.1379738938448817,2,0,0.006898694692244,0.0137973893844881,0.0275947787689763,0.0344934734612204,0.0413921681534645,0.0689869469224408,0.1103791150759053,0.1241765044603935,0.1310751991526376,0.1365941549064329,-0.1,1.0,0.001
BIOMD0000000234,model,0.0689869469224408,0.0,0.1379738938448817,2,0,0.006898694692244,0.0137973893844881,0.0275947787689763,0.0344934734612204,0.0413921681534645,0.0689869469224408,0.1103791150759053,0.1241765044603935,0.1310751991526376,0.1365941549064329,-0.05,1.0,0.001
BIOMD0000000234,model,0.0689869469224408,0.0,0.1379738938448817,2,0,0.006898694692244,0.0137973893844881,0.0275947787689763,0.0344934734612204,0.0413921681534645,0.0689869469224408,0.1103791150759053,0.1241765044603935,0.1310751991526376,0.1365941549064329,0.0,1.0,0.001
BIOMD0000000234,model,0.0689869469224408,0.0,0.1379738938448817,2,0,0.006898694692244,0.0137973893844881,0.0275947787689763,0.0344934734612204,0.0413921681534645,0.0689869469224408,0.1103791150759053,0.1241765044603935,0.1310751991526376,0.1365941549064329,0.05,1.0,0.001
BIOMD0000000234,model,0.0689869469224408,0.0,0.1379738938448817,2,0,0.006898694692244,0.0137973893844881,0.0275947787689763,0.0344934734612204,0.0413921681534645,0.0689869469224408,0.1103791150759053,0.1241765044603935,0.1310751991526376,0.1365941549064329,0.1,1.0,0.001
BIOMD0000000234,model,0.0689869469224408,0.0,0.1379738938448817,2,0,0.006898694692244,0.0137973893844881,0.0275947787689763,0.0344934734612204,0.0413921681534645,0.0689869469224408,0.1103791150759053,0.1241765044603935,0.1310751991526376,0.1365941549064329,0.2,1.0,0.001
BIOMD0000000234,model,0.0689869469224408,0.0,0.1379738938448817,2,0,0.006898694692244,0.0137973893844881,0.0275947787689763,0.0344934734612204,0.0413921681534645,0.0689869469224408,0.1103791150759053,0.1241765044603935,0.1310751991526376,0.1365941549064329,0.5,1.0,0.001
BIOMD0000000278,model,,,,0,3,,,,,,,,,,,-0.5,1.0,0.001
BIOMD0000000278,model,,,,0,3,,,,,,,,,,,-0.2,1.0,0.001
BIOMD0000000278,model,,,,0,3,,,,,,,,,,,-0.1,1.0,0.001
BIOMD0000000278,model,,,,0,3,,,,,,,,,,,-0.05,1.0,0.001
BIOMD0000000278,model,,,,0,3,,,,,,,,,,,0.0,1.0,0.001
BIOMD0000000278,model,,,,0,3,,,,,,,,,,,0.05,1.0,0.001
BIOMD0000000278,model,,,,0,3,,,,,,,,,,,0.1,1.0,0.001
BIOMD0000000278,model,,,,0,3,,,,,,,,,,,0.2,1.0,0.001
BIOMD0000000278,model,,,,0,3,,,,,,,,,,,0.5,1.0,0.001
BIOMD0000000279,model,0.5987733918649556,0.3715653916858148,0.9248712326113588,3,0,0.3843972076470027,0.3972290236081905,0.4228926555305661,0.435724471491754,0.4485562874529418,0.4998835512976931,0.7548761600858925,0.8398736963486256,0.8823724644799922,0.9163714789850854,-0.5,1.0,0.001
BIOMD0000000279,model,0.8345371906049834,0.7195029190049268,0.9841262679614696,3,0,0.7275508655892895,0.7355988121736522,0.7516947053423776,0.7597426519267403,0.7677905985111031,0.7999823848485539,0.9104687147163032,0.9472974913388864,0.965711879650178,0.9804433902992112,-0.2,1.0,0.001
BIOMD0000000279,model,0.9160673155678009,0.8549769061607504,0.9932249762309164,3,0,0.8594792219758489,0.8639815377909474,0.8729861694211445,0.877488485236243,0.8819908010513416,0.9000000643117357,0.955935011463244,0.9745799938470802,0.9839024850389982,0.9913604779925328,-0.1,1.0,0.001
BIOMD0000000279,model,0.9577297164357006,0.9263353997390944,0.9968509100265284,3,0,0.9287021437193328,0.9310688876995714,0.9358023756600484,0.9381691196402868,0.9405358636205252,0.9500028395414792,0.9781116818325089,0.9874812959295186,0.9921661029780234,0.9959139486168274,-0.05,1.0,0.001
BIOMD0000000279,model,0.999999800047231,0.9999994961317488,0.9999999966688636,3,0,0.999999537252682,0.9999995783736152,0.9999996606154814,0.9999997017364146,0.9999997428573476,0.9999999073410804,0.9999999609377505,0.999999978803307,0.9999999877360854,0.999999994882308,0.0,1.0,0.001
BIOMD0000000279,model,0.9563907714289788,0.9239723023732976,0.9951897181696266,3,0,0.9265761015103692,0.9291799006474406,0.9343874989215836,0.936991298058655,0.9395950971957264,0.9500102937440122,0.9771179483993808,0.9861538332845038,0.9906717757270652,0.9942861296811144,0.05,1.0,0.001
BIOMD0000000279,model,0.9121475814310804,0.8456608884911724,0.990754704170162,3,0,0.8510975148052459,0.8565341411193194,0.8674073937474662,0.8728440200615397,0.8782806463756132,0.900027151631907,0.95446368315486,0.972609193662511,0.9816819489163364,0.9889401531193968,0.1,1.0,0.001
BIOMD0000000279,model,0.821640542924779,0.6819991593047021,0.9828304137715562,3,0,0.6938084489440397,0.7056177385833774,0.7292363178620527,0.7410456075013903,0.752854897140728,0.8000920556980785,0.9097350705421652,0.9462827421568608,0.9645565779642084,0.9791756466100868,0.2,1.0,0.001
BIOMD0000000279,model,0.5338020982874496,0.1362705304352618,0.9645017899477673,3,0,0.1727068748396676,0.2091432192440734,0.282015908052885,0.3184522524572908,0.3548885968616966,0.5006339744793198,0.7789546637603884,0.8717282268540778,0.9181150084009224,0.9552244336383984,0.5,1.0,0.001
BIOMD0000000297,model,0.0,0.0,0.0,14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.001
BIOMD0000000297,model,0.0431276513967356,0.0,0.7762977251412425,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1164446587711852,0.64432711186723,-0.2,1.0,0.001
BIOMD0000000297,model,0.0499058472079592,0.0,0.8983052497432656,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1347457874614885,0.7455933572869089,-0.1,1.0,0.001
BIOMD0000000297,model,0.0524513114553628,0.0,0.944123606196532,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1416185409294784,0.7836225931431199,-0.05,1.0,0.001
BIOMD0000000297,model,0.0543106696450076,0.0,0.9775920536101383,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1466388080415193,0.8114014044964132,0.0,1.0,0.001
BIOMD0000000297,model,0.1318344212448728,0.0,0.9908491266453212,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0149318172092155,0.5464922147964552,0.9396284864782036,0.9806049986118976,0.05,1.0,0.001
BIOMD0000000297,model,0.1264036682038541,0.0,0.9888346270130498,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5168120321243083,0.8987686451761603,0.9708214306456718,0.1,1.0,0.001
BIOMD0000000297,model,0.11948349532338,0.0,0.983669087408252,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4640334188829143,0.8268538908836089,0.9523060481033234,0.2,1.0,0.001
BIOMD0000000297,model,0.1111352762580186,0.0,0.802072198788693,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1174167464971652,0.4293377374212204,0.6260831924231998,0.7668743975155943,0.5,1.0,0.001
BIOMD0000000338,model,0.0023809523809523,0.0,0.1,42,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589999999999996,-0.5,0.6078431372549019,0.001
BIOMD0000000338,model,0.0023255813953488,0.0,0.1,43,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579999999999998,-0.2,0.6078431372549019,0.001
BIOMD0000000338,model,0.0023255813953488,0.0,0.1,43,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579999999999998,-0.1,0.6078431372549019,0.001
BIOMD0000000338,model,0.0023255813953488,0.0,0.1,43,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579999999999998,-0.05,0.6078431372549019,0.001
BIOMD0000000338,model,0.0232558139534883,0.0,1.0,43,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799999999999983,0.0,0.6078431372549019,0.001
BIOMD0000000338,model,0.0232558139534883,0.0,1.0,43,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799999999999983,0.05,0.6078431372549019,0.001
BIOMD0000000338,model,0.0232558139534883,0.0,1.0,43,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799999999999983,0.1,0.6078431372549019,0.001
BIOMD0000000338,model,0.0232558139534883,0.0,1.0,43,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799999999999983,0.2,0.6078431372549019,0.001
BIOMD0000000338,model,0.0232558139534883,0.0,1.0,43,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799999999999983,0.5,0.6078431372549019,0.001
BIOMD0000000342,model,0.7210538044045735,0.1816866142822988,0.9999973275042956,8,11,0.2137605072148332,0.2458344001473676,0.3997487591139803,0.5103684035103655,0.6028564832457444,0.8620363296947889,0.999983421936228,0.9999900483797588,0.9999936879420273,0.999996599591842,-0.5,0.7894736842105263,0.001
BIOMD0000000342,model,0.9189377311270148,0.7804641463488444,0.999997327053634,8,11,0.7864562872852495,0.7924484282216547,0.8258386727557101,0.8505610310207047,0.8719299825110124,0.9526354345196312,0.9999834249890576,0.999990046701645,0.9999936868776396,0.9999965990184352,-0.2,0.7894736842105263,0.001
BIOMD0000000342,model,0.9627594921978776,0.901089334022511,0.9999973269978408,8,11,0.9035408030928151,0.9059922721631192,0.9201291010955372,0.9306602246086748,0.93984405536559,0.9773740999820552,0.9999834210727176,0.9999900464938976,0.9999936867458692,0.9999965989474464,-0.1,0.7894736842105263,0.001
BIOMD0000000342,model,0.982095872992228,0.9528752565160162,0.9999973268850544,8,11,0.9539918394136782,0.95510842231134,0.9616460514530648,0.9665290397788278,0.9708049161266464,0.988923462062512,0.9999834229301816,0.999990046073921,0.9999936864794876,0.999996598803941,-0.05,0.7894736842105263,0.001
BIOMD0000000342,model,0.9999890187008138,0.9999497491758672,1.0,8,11,0.9999596943604128,0.999969639544958,0.9999816633139168,0.9999847252233468,0.9999879534853878,0.9999986620701397,0.9999999999999996,0.9999999999999996,0.9999999999999998,1.0,0.0,0.7894736842105263,0.001
BIOMD0000000342,model,0.9833762901290404,0.9569341560999374,0.99999732733605,8,11,0.9578722689271968,0.9588103817544562,0.9644544173680712,0.9686893639095396,0.972426412545656,0.9893924709896622,0.9999834221578568,0.9999900477532716,0.9999936875446608,0.9999965993777722,0.05,0.7894736842105263,0.001
BIOMD0000000342,model,0.967904063533476,0.9174245201809834,0.9999973270180754,8,11,0.9191533720376952,0.9208822238944072,0.9314124305431016,0.9393297224681753,0.9463411169507993,0.9792482709484788,0.9999834217838804,0.9999900465692396,0.9999936867936574,0.9999965989731918,0.1,0.7894736842105263,0.001
BIOMD0000000342,model,0.9399221147056752,0.8474461742841304,0.9999973270285112,8,11,0.8504102779216889,0.8533743815592473,0.871831882364996,0.8857591178418572,0.8981760682767708,0.9601730708189624,0.9999834211625264,0.999990046608103,0.9999936868183072,0.9999965989864704,0.2,0.7894736842105263,0.001
BIOMD0000000342,model,0.8737632163718321,0.6896362971389026,0.9999973269855348,8,11,0.6945946290104299,0.6995529608819573,0.7320975576235178,0.7568553308687378,0.7793069949044722,0.9110823018489574,0.9999834208067454,0.999990046448068,0.9999936867168012,0.999996598931788,0.5,0.7894736842105263,0.001
BIOMD0000000343,model,0.5015956952143619,0.0,0.998999065496564,9,1,0.0,0.0,0.0848075939097058,0.1413459898495096,0.1816445532847264,0.3236988566417785,0.94348351340678,0.9567582641687898,0.9778786648326768,0.9947749853637868,-0.5,1.0,0.001
BIOMD0000000343,model,0.584929028532288,0.0,0.9989990654963844,9,1,0.0565383959393301,0.1130767918786602,0.2017938349392184,0.2420923983331473,0.2747349816591959,0.75,0.9434835133960344,0.9567582641702684,0.9778786648333264,0.994774985363773,-0.2,1.0,0.001
