model_name,num_species,num_reaction,num_perturbation,num_timepoint,deg0_min,deg0_median,deg0_max,deg0_values,deg0_num_nonzero_term,deg1_min,deg1_median,deg1_max,deg1_values,deg1_num_nonzero_term,deg2_min,deg2_median,deg2_max,deg2_values,deg2_num_nonzero_term
BIOMD0000000003,3,7,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0,0.0,0.636922717479348,0.8409561648481595,"[0.0, np.float64(0.8409561648481595), np.float64(0.636922717479348)]",6,0.0,0.0,0.9338978440099518,"[0.0, 0.0, np.float64(0.9338978440099518)]",20
BIOMD0000000004,5,7,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",5,0.0,0.0,0.15025048517865247,"[0.0, 0.0, np.float64(0.15025048517865247), 0.0, np.float64(0.1502504851670723)]",63
BIOMD0000000005,6,9,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.549267985979941,0.9987787511093735,"[np.float64(0.5493777687405845), np.float64(0.9987787511093735), np.float64(0.3525977666823412), np.float64(0.6327374371762071), np.float64(0.5491582032192974), 0.0]",38,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",164
BIOMD0000000008,5,13,0,1000,0.0,0.0,1.1102230246251565e-16,"[0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0, 0.0]",0,0.0797899879517483,0.9949297637257507,0.9980398376337016,"[np.float64(0.9970041428801447), np.float64(0.0797899879517483), np.float64(0.9849618805870786), np.float64(0.9980398376337016), np.float64(0.9949297637257507)]",17,0.0,0.0,0.08085432691313388,"[0.0, np.float64(0.08085432691313388), 0.0, 0.0, 0.0]",24
BIOMD0000000010,8,10,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
BIOMD0000000012,6,12,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7
BIOMD0000000013,18,21,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.0,0.9963943334708251,0.9999606158232115,"[np.float64(0.9999606158232115), np.float64(0.9999037929808541), np.float64(0.8395603758452835), np.float64(0.8508028862085573), 0.0, np.float64(0.9844011606641596), np.float64(0.9995131378463583), np.float64(0.999719825003954), np.float64(0.9977408312555873), np.float64(0.9976770001261139), np.float64(0.9951422454172828), np.float64(0.9998871749467861), np.float64(0.7940599402697143), np.float64(0.9917372062914686), np.float64(0.9868332133918496), np.float64(0.9982269539409363), np.float64(0.8395603738718658), np.float64(0.9976464215243673)]",341,0.0,0.14916174612414146,0.992406148656034,"[np.float64(0.992406148656034), np.float64(0.9916680206246711), 0.0, 0.0, np.float64(0.6703581557049205), np.float64(0.6635392912144935), np.float64(0.63341185173392), np.float64(0.6179507401907924), np.float64(0.08498614717172415), np.float64(0.0914250580686381), 0.0, np.float64(0.9566120776496102), 0.0, 0.0, 0.0, np.float64(0.33778286182426653), 0.0, np.float64(0.20689843417964482)]",3191
BIOMD0000000014,86,300,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.0,0.906905934264844,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.4741444240537602), 0.0, 0.0, 0.0, np.float64(0.8410707927834664), 0.0, 0.0, np.float64(0.4741444240537602), 0.0, 0.0, 0.0, np.float64(0.4741444240537602), 0.0, 0.0, 0.0, 0.0, np.float64(0.3158166572989982), np.float64(0.906905934264844), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.7781390335518152), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), 0.0, np.float64(0.6010149899493746), 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.5318196374491501), 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602)]",2452,0.0,0.0,0.9999996426270702,"[0.0, 0.0, 0.0, 0.0, np.float64(0.5788640874717489), 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.4594254682769331), 0.0, 0.0, 0.0, np.float64(0.38814030453744397), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9980959475163057), np.float64(0.9985516153421542), 0.0, np.float64(0.9928467843443007), np.float64(0.9937637263394589), 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.34396212480827026), 0.0, np.float64(0.9935291905355585), np.float64(0.9999905114284304), 0.0, np.float64(0.9829839531975735), 0.0, 0.0, 0.0, 0.0, np.float64(0.48645831203404855), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.008800241685493204), np.float64(0.9733315281884125), 0.0, 0.0, 0.0, np.float64(0.9999996426270702), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8182
BIOMD0000000015,16,37,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.0,0.9243388056401077,"[0.0, 0.0, 0.0, np.float64(0.9243388056401077), 0.0, 0.0, 0.0, np.float64(0.9242557558433934), 0.0, 0.0, np.float64(0.9242864278754435), 0.0, 0.0, 0.0, 0.0, 0.0]",189,0.0,0.0,0.9327829192125313,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9327829192125313), 0.0, 0.0, 0.0, np.float64(0.9305327910224656)]",1222
BIOMD0000000017,11,14,0,1000,0.0,0.0,3.3306690738754696e-16,"[np.float64(3.3306690738754696e-16), 0.0, np.float64(3.3306690738754696e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4,0.0,0.9485466320104138,0.9908155055201271,"[np.float64(0.9598555853839358), np.float64(0.9485466320104194), np.float64(0.9598555853839366), np.float64(0.9485466320104138), np.float64(0.9321267453808215), np.float64(0.9908155055201271), np.float64(0.9908155055201255), 0.0, 0.0, 0.0, 0.0]",96,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",775
