system_id,aggregation_type,mean,min,max,count,invalid_count,p05,p10,p20,p25,p30,p50,p80,p90,p95,p99,perturbation,fraction_species_perturbable,threshold
BIOMD0000000005,C2,,,,0,1000,,,,,,,,,,,-0.5,1.0,0.001
BIOMD0000000005,CP,0.0064023851650288,0.0,1.0,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.001
BIOMD0000000005,M,0.0,0.0,0.0,253,747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.001
BIOMD0000000005,pM,0.0022293497264348,0.0,1.0,897,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.001
BIOMD0000000005,Y,,,,0,1000,,,,,,,,,,,-0.5,1.0,0.001
BIOMD0000000005,YP,0.0,0.0,0.0,441,559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.001
BIOMD0000000005,C2,,,,0,1000,,,,,,,,,,,-0.2,1.0,0.001
BIOMD0000000005,CP,0.0063373119935551,0.0,1.0,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.001
BIOMD0000000005,M,0.0,0.0,0.0,273,727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.001
BIOMD0000000005,pM,0.0021398271745437,0.0,1.0,935,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.001
BIOMD0000000005,Y,,,,0,1000,,,,,,,,,,,-0.2,1.0,0.001
BIOMD0000000005,YP,0.0,0.0,0.0,494,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.001
BIOMD0000000005,C2,,,,0,1000,,,,,,,,,,,-0.1,1.0,0.001
BIOMD0000000005,CP,0.0063256240030829,0.0,1.0,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,1.0,0.001
BIOMD0000000005,M,0.0,0.0,0.0,239,761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,1.0,0.001
BIOMD0000000005,pM,0.0020950548917473,0.0,1.0,955,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,1.0,0.001
BIOMD0000000005,Y,,,,0,1000,,,,,,,,,,,-0.1,1.0,0.001
BIOMD0000000005,YP,0.0,0.0,0.0,462,538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,1.0,0.001
BIOMD0000000005,C2,,,,0,1000,,,,,,,,,,,-0.05,1.0,0.001
BIOMD0000000005,CP,0.0063207349621616,0.0,1.0,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,1.0,0.001
BIOMD0000000005,M,0.0,0.0,0.0,259,741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,1.0,0.001
