model_name,num_species,num_reaction,num_perturbation,num_timepoint,deg0_min,deg0_median,deg0_max,deg0_values,deg0_num_nonzero_term,deg1_min,deg1_median,deg1_max,deg1_values,deg1_num_nonzero_term,deg2_min,deg2_median,deg2_max,deg2_values,deg2_num_nonzero_term
BIOMD0000000003,3,7,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0,0.0,0.636922717479348,0.8409561648481595,"[0.0, np.float64(0.8409561648481595), np.float64(0.636922717479348)]",6,0.0,0.9338978440099518,0.9999887446444242,"[0.0, np.float64(0.9999887446444242), np.float64(0.9338978440099518)]",22
BIOMD0000000004,5,7,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.8052932286947238,0.86454797582798,"[0.0, np.float64(0.8052932286947238), np.float64(0.86454797582798), np.float64(0.8052932286946092), np.float64(0.8645479758279551)]",17,0.0,0.0,0.15025048517865247,"[0.0, 0.0, np.float64(0.15025048517865247), 0.0, np.float64(0.1502504851670723)]",68
BIOMD0000000005,6,9,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.3525977666823412,0.5910576029583958,0.9987787511093735,"[np.float64(0.5493777687405845), np.float64(0.9987787511093735), np.float64(0.3525977666823412), np.float64(0.6327374371762071), np.float64(0.5491582032192974), np.float64(0.997552423129936)]",39,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",166
BIOMD0000000008,5,13,0,1000,0.0,0.0,1.1102230246251565e-16,"[0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0, 0.0]",2,0.0797899879517483,0.9961564080385839,0.9985155849869957,"[np.float64(0.9977361962847987), np.float64(0.0797899879517483), np.float64(0.9849618805870786), np.float64(0.9985155849869957), np.float64(0.9961564080385839)]",20,0.0,0.0,0.9975263130974712,"[0.0, np.float64(0.08085432691313388), np.float64(0.9975263130974712), 0.0, 0.0]",30
BIOMD0000000010,8,10,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
BIOMD0000000012,6,12,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",11,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",23
BIOMD0000000013,18,21,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",10,0.7940599402697143,0.9976617108252406,0.9999606158232115,"[np.float64(0.9999606158232115), np.float64(0.9999037929808541), np.float64(0.8395603758452835), np.float64(0.8508028862085573), np.float64(0.9995229099370306), np.float64(0.9844011606641596), np.float64(0.9995131378463583), np.float64(0.999719825003954), np.float64(0.9977408312555873), np.float64(0.9976770001261139), np.float64(0.9951422454172828), np.float64(0.9998871749467861), np.float64(0.7940599402697143), np.float64(0.9917372062914686), np.float64(0.9868332133918496), np.float64(0.9982269539409363), np.float64(0.8395603738718658), np.float64(0.9976464215243673)]",342,0.0,0.2741502294537873,0.993943020163095,"[np.float64(0.993943020163095), np.float64(0.9922000737943545), 0.0, 0.0, np.float64(0.6422807111929483), np.float64(0.7051225214731458), np.float64(0.667671598599063), np.float64(0.5430844594872726), np.float64(0.23959230975927548), np.float64(0.30870814914829914), 0.0, np.float64(0.962497253085661), 0.0, 0.0, 0.0, np.float64(0.4246037254290368), 0.0, np.float64(0.04241111306117196)]",3306
BIOMD0000000014,86,300,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.4741444240537602,0.9999910210366268,"[np.float64(0.5981745412817465), np.float64(0.2548646118702552), np.float64(0.9991123914990601), 0.0, np.float64(0.9999910210366268), 0.0, np.float64(0.4741444240537602), np.float64(0.9816199526842927), 0.0, 0.0, np.float64(0.9999816683904696), 0.0, np.float64(0.21187791610679807), np.float64(0.4741444240537602), 0.0, 0.0, np.float64(0.5824516241472191), np.float64(0.4741444240537602), np.float64(0.24604677616150405), 0.0, np.float64(0.01773755391117282), 0.0, np.float64(0.9986768556096591), np.float64(0.906905934264844), 0.0, np.float64(0.9892965898047721), np.float64(0.6098399378696555), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9940585352392143), np.float64(0.7781390335518152), 0.0, np.float64(0.9881272602011446), np.float64(0.9717359324956047), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), 0.0, np.float64(0.4723178556094504), np.float64(0.05910408001750456), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.04690470163694793), np.float64(0.9580635093220947), np.float64(0.9743810479162319), np.float64(0.5071416232273211), np.float64(0.1398728421297507), np.float64(0.9862781697837358), 0.0, np.float64(0.7533219386142513), np.float64(0.6959278447983107), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), 0.0, np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602)]",2793,0.0,0.0,0.9999999999968586,"[np.float64(0.8567893026442169), np.float64(0.8299004601944628), np.float64(0.9999999683290556), 0.0, np.float64(0.9999999997274506), 0.0, 0.0, np.float64(0.9999999990796932), 0.0, 0.0, np.float64(0.9999999994256403), np.float64(0.9999999999727706), 0.0, 0.0, np.float64(0.41317909416651466), 0.0, np.float64(0.8485962462713399), 0.0, np.float64(0.8265525621198347), 0.0, np.float64(0.998090658745291), 0.0, np.float64(0.9999999612611029), np.float64(0.9985504878408274), 0.0, np.float64(0.9928461853160888), np.float64(0.9937564050392647), 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.4959517528840247), 0.0, np.float64(0.9935280760161274), np.float64(0.9999904778630784), 0.0, np.float64(0.9829839531975735), np.float64(0.9575040301703915), np.float64(0.9999999999968586), 0.0, 0.0, np.float64(0.8276012808752299), 0.0, 0.0, np.float64(0.7568837645806787), 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.3954754582067157), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.7376661389163468), np.float64(0.9733186768559142), np.float64(0.964205228653293), 0.0, 0.0, np.float64(0.9999996426270702), np.float64(0.9999999959258145), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8399
BIOMD0000000015,16,37,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.0,0.0,0.9243388056401077,"[0.0, 0.0, 0.0, np.float64(0.9243388056401077), 0.0, 0.0, 0.0, np.float64(0.9242557558433934), 0.0, 0.0, np.float64(0.9242864278754435), 0.0, 0.0, 0.0, 0.0, 0.0]",218,0.0,0.0,0.9327829192125313,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9327829192125313), 0.0, 0.0, 0.0, np.float64(0.9305327910224656)]",1404
BIOMD0000000017,11,14,0,1000,0.0,0.0,3.3306690738754696e-16,"[np.float64(3.3306690738754696e-16), 0.0, np.float64(3.3306690738754696e-16), 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7,0.0,0.948571221089734,0.9908155055201271,"[np.float64(0.9598633837717119), np.float64(0.9485712210897399), np.float64(0.9598633837717128), np.float64(0.948571221089734), np.float64(0.9321850144114063), np.float64(0.9908155055201271), np.float64(0.9908155055201255), np.float64(0.8017145390366359), 0.0, 0.0, 0.0]",110,0.0,0.0,0.07092948156487366,"[0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.07092948156487366), np.float64(0.07092947174854869), 0.0, 0.0, 0.0, 0.0]",822
