system_id,species_name,frequencies,endtime
BIOMD0000000005,C2,[0.02997],100.0
BIOMD0000000005,CP,[0.02997],100.0
BIOMD0000000005,M,"[0.02997, 0.05994, 0.10989, 0.13986]",100.0
BIOMD0000000005,pM,[0.02997],100.0
BIOMD0000000005,Y,[0.02997],100.0
BIOMD0000000005,YP,[0.02997],100.0
BIOMD0000000010,MKKK,[0.000777],9000.0
BIOMD0000000010,MKKK_P,[0.000777],9000.0
BIOMD0000000010,MKK,[0.000777],9000.0
BIOMD0000000010,MKK_P,[0.000777],9000.0
BIOMD0000000010,MKK_PP,[0.000777],9000.0
BIOMD0000000010,MAPK,[0.000777],9000.0
BIOMD0000000010,MAPK_P,[0.000777],9000.0
BIOMD0000000010,MAPK_PP,[0.000777],9000.0
BIOMD0000000042,ATP,"[0.08325, 0.1665]",300.0
BIOMD0000000042,ADP,"[0.08325, 0.1665]",300.0
BIOMD0000000042,AMP,"[0.08658, 0.1665]",300.0
BIOMD0000000042,GLC,[],300.0
BIOMD0000000042,F6P,[0.08325],300.0
BIOMD0000000042,FBP,[],300.0
BIOMD0000000042,GAP,[],300.0
BIOMD0000000042,NAD,[],300.0
BIOMD0000000042,NADH,[],300.0
BIOMD0000000042,DPG,[],300.0
BIOMD0000000042,PEP,[0.08325],300.0
BIOMD0000000042,PYR,[0.08325],300.0
BIOMD0000000042,ACA,[0.08325],300.0
BIOMD0000000042,EtOH,[],300.0
BIOMD0000000042,P,[],300.0
BIOMD0000000234,Ce,[],60.0
BIOMD0000000234,Size,[],60.0
BIOMD0000000278,R,[],140.0
BIOMD0000000278,B,[],140.0
BIOMD0000000278,C,[],140.0
BIOMD0000000279,x1,[],150.0
BIOMD0000000279,x2,[],150.0
BIOMD0000000279,z,[],150.0
BIOMD0000000297,Trim,[],140.0
BIOMD0000000297,Clb,[],140.0
BIOMD0000000297,Sic,[],140.0
BIOMD0000000297,PTrim,[],140.0
BIOMD0000000297,PClb,[],140.0
BIOMD0000000297,SBF,[],140.0
BIOMD0000000297,IE,[],140.0
BIOMD0000000297,Cdc20a,[],140.0
BIOMD0000000297,Cdc20,[],140.0
BIOMD0000000297,Cdh1,[],140.0
BIOMD0000000297,Swe1,[],140.0
BIOMD0000000297,Swe1M,[],140.0
BIOMD0000000297,PSwe1,[],140.0
BIOMD0000000297,PSwe1M,[],140.0
BIOMD0000000297,Mih1a,[],140.0
BIOMD0000000297,Mcm,[],140.0
BIOMD0000000297,BE,[],140.0
BIOMD0000000297,Cln,[],140.0
BIOMD0000000297,mass,[],140.0
BIOMD0000000338,IIa,[],2.0
BIOMD0000000338,VIII,[],2.0
BIOMD0000000338,VIIIa,[],2.0
BIOMD0000000338,APC_PS,[],2.0
BIOMD0000000338,IX,[],2.0
BIOMD0000000338,IXa,[],2.0
BIOMD0000000338,XIa,[],2.0
BIOMD0000000338,XI,[],2.0
BIOMD0000000338,XIIa,[],2.0
BIOMD0000000338,VII,[],2.0
BIOMD0000000338,VIIa,[],2.0
BIOMD0000000338,X,[],2.0
BIOMD0000000338,Xa,[],2.0
BIOMD0000000338,IXa_VIIIa,[],2.0
BIOMD0000000338,V,[],2.0
BIOMD0000000338,Va,[],2.0
BIOMD0000000338,II,[],2.0
BIOMD0000000338,F,[],2.0
BIOMD0000000338,Fg,[],2.0
BIOMD0000000338,P,[],2.0
BIOMD0000000338,XF,[],2.0
BIOMD0000000338,XIII,[],2.0
BIOMD0000000338,Pg,[],2.0
BIOMD0000000338,APC,[],2.0
BIOMD0000000338,IIa_Tmod,[],2.0
BIOMD0000000338,PC,[],2.0
BIOMD0000000338,Tmod,[],2.0
BIOMD0000000338,TF,[],2.0
BIOMD0000000338,VIIa_TF,[],2.0
BIOMD0000000338,VII_TF,[],2.0
BIOMD0000000338,Xa_TFPI,[],2.0
BIOMD0000000338,TFPI,[],2.0
BIOMD0000000338,PS,[],2.0
BIOMD0000000338,VKH2,[],2.0
BIOMD0000000338,Va_Xa,[],2.0
BIOMD0000000338,CA,[],2.0
BIOMD0000000338,XII,[],2.0
BIOMD0000000338,K,[],2.0
BIOMD0000000338,ATIII_Heparin,[],2.0
BIOMD0000000338,Xa_ATIII_Heparin,[],2.0
BIOMD0000000338,VK,[],2.0
BIOMD0000000338,VKO,[],2.0
BIOMD0000000338,Pk,[],2.0
BIOMD0000000338,FDP,[],2.0
BIOMD0000000338,D,[],2.0
BIOMD0000000338,TAT,[],2.0
BIOMD0000000338,VIIa_TF_Xa_TFPI,[],2.0
BIOMD0000000338,XIIIa,[],2.0
BIOMD0000000338,IIa_ATIII_Heparin,[],2.0
BIOMD0000000338,IXa_ATIII_Heparin,[],2.0
BIOMD0000000338,VK_p,[],2.0
BIOMD0000000338,C_warf,[],2.0
BIOMD0000000338,A_warf,[],2.0
BIOMD0000000338,Integral_Fibrin,[],2.0
BIOMD0000000339,IIa,[],2.0
BIOMD0000000339,VIII,[],2.0
BIOMD0000000339,VIIIa,[],2.0
BIOMD0000000339,APC_PS,[],2.0
BIOMD0000000339,IX,[],2.0
BIOMD0000000339,IXa,[],2.0
BIOMD0000000339,XIa,[],2.0
BIOMD0000000339,XI,[],2.0
BIOMD0000000339,XIIa,[],2.0
BIOMD0000000339,VII,[],2.0
BIOMD0000000339,VIIa,[],2.0
BIOMD0000000339,X,[],2.0
BIOMD0000000339,Xa,[],2.0
BIOMD0000000339,IXa_VIIIa,[],2.0
BIOMD0000000339,V,[],2.0
BIOMD0000000339,Va,[],2.0
BIOMD0000000339,II,[],2.0
BIOMD0000000339,F,[],2.0
BIOMD0000000339,Fg,[],2.0
BIOMD0000000339,P,[],2.0
BIOMD0000000339,XF,[],2.0
BIOMD0000000339,XIII,[],2.0
BIOMD0000000339,Pg,[],2.0
BIOMD0000000339,APC,[],2.0
BIOMD0000000339,IIa_Tmod,[],2.0
BIOMD0000000339,PC,[],2.0
BIOMD0000000339,Tmod,[],2.0
BIOMD0000000339,TF,[],2.0
BIOMD0000000339,VIIa_TF,[],2.0
BIOMD0000000339,VII_TF,[],2.0
BIOMD0000000339,Xa_TFPI,[],2.0
BIOMD0000000339,TFPI,[],2.0
BIOMD0000000339,PS,[],2.0
BIOMD0000000339,VKH2,[],2.0
BIOMD0000000339,Va_Xa,[],2.0
BIOMD0000000339,CA,[],2.0
BIOMD0000000339,XII,[],2.0
BIOMD0000000339,K,[],2.0
BIOMD0000000339,ATIII_Heparin,[],2.0
BIOMD0000000339,Xa_ATIII_Heparin,[],2.0
BIOMD0000000339,VK,[],2.0
BIOMD0000000339,VKO,[],2.0
BIOMD0000000339,Pk,[],2.0
BIOMD0000000339,FDP,[],2.0
BIOMD0000000339,D,[],2.0
BIOMD0000000339,TAT,[],2.0
BIOMD0000000339,VIIa_TF_Xa_TFPI,[],2.0
BIOMD0000000339,XIIIa,[],2.0
BIOMD0000000339,IIa_ATIII_Heparin,[],2.0
BIOMD0000000339,IXa_ATIII_Heparin,[],2.0
BIOMD0000000339,VK_p,[],2.0
