model_name,num_species,num_reaction,deg0_min,deg0_median,deg0_max,deg0_values,deg0_num_nonzero_term,deg1_min,deg1_median,deg1_max,deg1_values,deg1_num_nonzero_term,deg2_min,deg2_median,deg2_max,deg2_values,deg2_num_nonzero_term
BIOMD0000000279,3,0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.48477822847697893,"[0.0, np.float64(0.48477822847697893), 0.0]",6.0,0.09608099330272668,0.48477822750661037,0.655690844089,"[np.float64(0.655690844089), np.float64(0.48477822750661037), np.float64(0.09608099330272668)]",2.0
BIOMD0000000282,5,3,0.0,0.0,1.1102230246251565e-16,"[0.0, 0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0]",4.0,0.0,0.9997068418251254,0.999991706146778,"[np.float64(0.9997068418251254), np.float64(0.999991706146778), np.float64(0.9997068418252547), np.float64(0.998910960749571), 0.0]",24.0,0.0,0.9999999999291721,0.9999999999977782,"[np.float64(0.9999999999291721), np.float64(0.9999999999977782), np.float64(0.9999999999291721), np.float64(0.9999999997347031), 0.0]",88.0
BIOMD0000000284,6,8,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.0,0.9964835046300784,0.9991158165133163,0.9999266535262178,"[np.float64(0.9999266535262178), np.float64(0.9997833930159362), np.float64(0.9968863876495462), np.float64(0.9995780718176309), np.float64(0.9964835046300784), np.float64(0.9986535612090017)]",42.0,0.7422189327031969,0.835410101449597,0.9967228411494167,"[np.float64(0.9967228411494167), np.float64(0.9850222744211232), np.float64(0.7848673327513306), np.float64(0.8859528701478635), np.float64(0.7502906416015306), np.float64(0.7422189327031969)]",168.0
BIOMD0000000287,21,37,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0,0.0,0.0,0.9999936397329434,"[np.float64(0.9999936397329434), np.float64(0.9999790757318692), np.float64(0.9999900775031502), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.6055585424886911), 0.0]",125.0,0.0,0.9999999999191389,0.9999999999999695,"[np.float64(0.9999936945486088), 0.0, np.float64(0.999990163058467), np.float64(0.9999999954255538), 0.0, np.float64(0.9999999999994811), np.float64(0.999999999999084), np.float64(0.9999999999998951), np.float64(0.9999999999191389), np.float64(0.9999999999999695), np.float64(0.9999999999999599), np.float64(0.9999995435812765), np.float64(0.9999999936530523), 0.0, np.float64(0.9999999999996031), np.float64(0.9999999999997236), np.float64(0.9999999999997329), 0.0, np.float64(0.9999999999999353), np.float64(0.9999999999987677), 0.0]",137.0
BIOMD0000000292,3,4,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.9451910588553374,0.9977901635286602,0.9999403557262665,"[np.float64(0.9977901635286602), np.float64(0.9451910588553374), np.float64(0.9999403557262665)]",12.0,0.9994785345238613,0.9997740321077632,0.9999944196303671,"[np.float64(0.9997740321077632), np.float64(0.9994785345238613), np.float64(0.9999944196303671)]",30.0
BIOMD0000000293,131,316,,,,,,,,,,,,,,,
BIOMD0000000294,11,26,0.0,0.0,1.1102230246251565e-16,"[0.0, 0.0, 0.0, 0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.40754946946863924,0.9995418971902916,0.9999965855102483,"[np.float64(0.40754946946863924), np.float64(0.9995418971902916), np.float64(0.9982145180781394), np.float64(0.9995350002171167), np.float64(0.99935714706008), np.float64(0.9999965855102483), np.float64(0.9997965084865938), np.float64(0.999593265480655), np.float64(0.9991643167610725), np.float64(0.9998763830567833), np.float64(0.9999954468972753)]",120.0,0.0,0.9551432734023398,0.9981135122780169,"[0.0, 0.0, np.float64(0.9944963733948238), 0.0, np.float64(0.8399478885906457), np.float64(0.9981135122780169), np.float64(0.9908771764360468), np.float64(0.9551432734023398), np.float64(0.7333381725867927), np.float64(0.997589819209455), np.float64(0.992987814065526)]",804.0
BIOMD0000000295,5,8,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",5.0,0.9991935457594274,0.9999999990833491,0.9999999991608003,"[np.float64(0.999999999159763), np.float64(0.9999999991608003), np.float64(0.9991935457594274), np.float64(0.9999999990833491), np.float64(0.9999926831153966)]",29.0,0.9999999995496215,0.9999999996805091,0.9999999997940465,"[np.float64(0.9999999997940465), np.float64(0.999999999793986), np.float64(0.9999999995576649), np.float64(0.9999999995496215), np.float64(0.9999999996805091)]",105.0
BIOMD0000000296,5,8,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",4.0,0.0,0.8599088517208298,0.9999999592059714,"[0.0, np.float64(0.37753796704917963), np.float64(0.8599088517208298), np.float64(0.999985067030327), np.float64(0.9999999592059714)]",16.0,0.0,0.9941281798251891,0.9999948689673633,"[0.0, np.float64(0.9941281798251891), np.float64(0.9917730805939736), np.float64(0.9944239596098718), np.float64(0.9999948689673633)]",56.0
BIOMD0000000297,19,51,0.0,0.0,1.1102230246251565e-16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(1.1102230246251565e-16)]",6.0,0.0,0.922123037432096,0.9999999999957085,"[np.float64(0.8853143191080955), np.float64(0.9702684826461806), np.float64(0.9807503315779329), np.float64(0.8307612932628226), np.float64(0.3899280439384589), np.float64(0.9500548744497302), np.float64(0.9697694422767511), np.float64(0.8531939681171128), np.float64(0.9110533669512092), np.float64(0.5930437483599732), np.float64(0.3974085430701412), np.float64(0.5125740371082078), 0.0, np.float64(0.922123037432096), np.float64(0.9695070102747864), np.float64(0.982648740145208), np.float64(0.9999572831918128), np.float64(0.9966842342017389), np.float64(0.9999999999957085)]",333.0,0.0,0.0,0.9921683460250353,"[0.0, 0.0, np.float64(0.2561952832982336), 0.0, np.float64(0.8657603651118249), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9382446175773367), np.float64(0.9921683460250353), np.float64(0.9738476437427815), np.float64(0.9546705636021986)]",3983.0
BIOMD0000000298,10,0,0.0,0.0,2.220446049250313e-16,"[np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0, 0.0, 0.0, np.float64(1.1102230246251565e-16)]",9.0,0.9993897283916907,0.9999975217168298,0.9999999310783614,"[np.float64(0.9999974064060982), np.float64(0.9999515111965323), np.float64(0.9995933467570004), np.float64(0.9999999310783614), np.float64(0.9999998246605153), np.float64(0.9999998425740628), np.float64(0.9999936795851287), np.float64(0.999999758287893), np.float64(0.9999976370275614), np.float64(0.9993897283916907)]",102.0,0.9999986734204138,0.9999999993151201,0.9999999999568434,"[np.float64(0.9999999986646402), np.float64(0.9999999999568434), np.float64(0.9999999991015434), np.float64(0.9999999995665557), np.float64(0.9999999999505715), np.float64(0.9999999997806436), np.float64(0.9999999995286967), np.float64(0.9999999989178399), np.float64(0.9999998384846772), np.float64(0.9999986734204138)]",660.0
