model_name,num_species,num_reaction,num_perturbation,num_timepoint,deg0_min,deg0_median,deg0_max,deg0_values,deg0_num_nonzero_term,deg1_min,deg1_median,deg1_max,deg1_values,deg1_num_nonzero_term,deg2_min,deg2_median,deg2_max,deg2_values,deg2_num_nonzero_term
BIOMD0000000003,3,7,0,1000,0.0,1.1102230246251565e-16,2.220446049250313e-16,"[np.float64(2.220446049250313e-16), 0.0, np.float64(1.1102230246251565e-16)]",3.0,0.380047555317818,0.9777294579089352,0.9882357177733633,"[np.float64(0.380047555317818), np.float64(0.9777294579089352), np.float64(0.9882357177733633)]",10.0,0.4566460433630808,0.9999887446444242,0.9999932497982114,"[np.float64(0.4566460433630808), np.float64(0.9999887446444242), np.float64(0.9999932497982114)]",29.0
BIOMD0000000004,5,7,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.0,0.86454797582798,0.9217699948109356,"[0.0, np.float64(0.9217699948109296), np.float64(0.86454797582798), np.float64(0.9217699948109356), np.float64(0.8645479758279551)]",21.0,0.0,0.42010952007549307,0.9999056689947646,"[np.float64(0.9999056689947646), 0.0, np.float64(0.42010952008532954), 0.0, np.float64(0.42010952007549307)]",76.0
BIOMD0000000005,6,9,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.3525977666823412,0.5910576029583958,0.9987787511093735,"[np.float64(0.5493777687405845), np.float64(0.9987787511093735), np.float64(0.3525977666823412), np.float64(0.6327374371762071), np.float64(0.5491582032192974), np.float64(0.997552423129936)]",39.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",166.0
BIOMD0000000008,5,13,0,1000,0.0,0.0,1.1102230246251565e-16,"[0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0, 0.0]",3.0,0.0797899879517483,0.9961564080385839,0.9985155849869957,"[np.float64(0.9977361962847987), np.float64(0.0797899879517483), np.float64(0.9849618805870786), np.float64(0.9985155849869957), np.float64(0.9961564080385839)]",20.0,0.0,0.0,0.9999999988868135,"[0.0, np.float64(0.08085432691313388), np.float64(0.9999999988868135), 0.0, 0.0]",35.0
BIOMD0000000010,8,10,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0,0.0,0.0,0.2240311519228796,"[0.0, 0.0, np.float64(0.2240311519228796), 0.0, 0.0, 0.0, 0.0, 0.0]",6.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
BIOMD0000000012,6,12,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0,0.0,0.4819902911040733,0.9720850509728639,"[np.float64(0.9639805822081466), np.float64(0.9681892684167069), np.float64(0.9720850509728639), 0.0, 0.0, 0.0]",26.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",55.0
BIOMD0000000013,18,21,0,1000,0.0,0.0,2.220446049250313e-16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0]",14.0,0.7940599402697143,0.9976617108252406,0.9999606158232115,"[np.float64(0.9999606158232115), np.float64(0.9999037929808541), np.float64(0.8395603758452835), np.float64(0.8508028862085573), np.float64(0.9995229099370306), np.float64(0.9844011606641596), np.float64(0.9995131378463583), np.float64(0.999719825003954), np.float64(0.9977408312555873), np.float64(0.9976770001261139), np.float64(0.9951422454172828), np.float64(0.9998871749467861), np.float64(0.7940599402697143), np.float64(0.9917372062914686), np.float64(0.9868332133918496), np.float64(0.9982269539409363), np.float64(0.8395603738718658), np.float64(0.9976464215243673)]",342.0,0.0,0.28036730296504153,0.9939241613231582,"[np.float64(0.9939241613231582), np.float64(0.9922214008748067), 0.0, 0.0, np.float64(0.6688767400818494), np.float64(0.7048011784132009), np.float64(0.6680143910972074), np.float64(0.6462465434976841), np.float64(0.2453129974531877), np.float64(0.3154216084768954), 0.0, np.float64(0.9626449633755465), 0.0, 0.0, 0.0, np.float64(0.42576305628625133), 0.0, np.float64(0.21135495983226305)]",3395.0
BIOMD0000000014,86,300,0,1000,0.0,0.0,2.220446049250313e-16,"[0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.0,0.0,0.4741444240537602,0.9999910210366268,"[np.float64(0.9805224361964017), np.float64(0.8231974801956738), np.float64(0.9991123914990601), 0.0, np.float64(0.9999910210366268), np.float64(0.734453630076106), np.float64(0.4741444240537602), np.float64(0.9999643456030247), 0.0, 0.0, np.float64(0.9999816683904696), 0.0, np.float64(0.8626392428491108), np.float64(0.4741444240537602), 0.0, np.float64(0.12703263070308357), np.float64(0.9790004479188356), np.float64(0.4741444240537602), np.float64(0.8227752874915737), np.float64(0.3880218544893139), np.float64(0.9905876692465966), 0.0, np.float64(0.9986768556096591), np.float64(0.906905934264844), 0.0, np.float64(0.9892965898047721), np.float64(0.6098399378696555), 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.06197859183754051), 0.0, np.float64(0.9940585352392143), np.float64(0.7781390335518152), np.float64(0.9270425214029039), np.float64(0.9881272602011446), np.float64(0.9717359324956047), np.float64(0.719985532789187), 0.0, 0.0, 0.0, 0.0, np.float64(0.7405911770391506), np.float64(0.4199421127899603), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.06315241823257212), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.9125667345116002), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.260603209114905), np.float64(0.9644602347235577), np.float64(0.6572393624078654), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.8863018198579239), np.float64(0.9580635093220947), np.float64(0.9743810479162319), np.float64(0.7378975447123199), np.float64(0.813344093169226), np.float64(0.9862781697837358), np.float64(0.9994148437150507), 0.0, np.float64(0.9572620354366848), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.7672407644916867), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602), np.float64(0.4741444240537602)]",3203.0,0.0,0.0,0.999999999999996,"[np.float64(0.9629655361328898), np.float64(0.9999999999999957), np.float64(0.9999999683290556), np.float64(0.9175088091768631), np.float64(0.9999999997274506), 0.0, 0.0, np.float64(0.9999999990796932), np.float64(0.9174372249782045), 0.0, np.float64(0.9999999994256403), np.float64(0.9999999999727706), 0.0, 0.0, np.float64(0.9999999999973446), 0.0, np.float64(0.9608080603224364), 0.0, np.float64(0.999999999999996), 0.0, np.float64(0.9999999993096079), np.float64(0.917508894246309), np.float64(0.9999999592256943), np.float64(0.9999959163290756), np.float64(0.9999998046563063), np.float64(0.9984660007872731), np.float64(0.9937614439510373), np.float64(0.9999999971857879), 0.0, 0.0, 0.0, 0.0, np.float64(0.8990330166145395), 0.0, np.float64(0.9998526650609969), np.float64(0.9999906213430692), np.float64(0.9999999987183898), np.float64(0.9999996612975705), np.float64(0.9999984531008749), np.float64(0.9999999999968586), np.float64(0.7145594603284411), np.float64(0.8657003892215456), np.float64(0.9999999999999787), 0.0, 0.0, np.float64(0.9999999999999927), 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9394544773908099), 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9914987793035955), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9824648054271303), np.float64(0.9990297298133209), np.float64(0.9999994332775545), 0.0, 0.0, np.float64(0.9999996426270702), np.float64(0.9999999959258145), np.float64(0.6595410673883476), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8605.0
BIOMD0000000015,16,37,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.4621278779216967,0.9351196530737934,"[np.float64(0.9351196530737934), np.float64(0.9325868824118062), 0.0, np.float64(0.9243388056401077), 0.0, 0.0, 0.0, np.float64(0.9242557558433934), np.float64(0.9327617103106217), 0.0, np.float64(0.9242864278754435), np.float64(0.9327829200839939), 0.0, 0.0, np.float64(0.9250346172450692), 0.0]",243.0,0.0,0.0,0.9327829192125313,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.9327829192125313), 0.0, 0.0, 0.0, np.float64(0.9305327910224656)]",1594.0
BIOMD0000000017,11,14,0,1000,0.0,0.0,3.3306690738754696e-16,"[np.float64(3.3306690738754696e-16), 0.0, np.float64(3.3306690738754696e-16), 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0]",9.0,0.0,0.9485712210897399,0.9977510849503964,"[np.float64(0.9598633837717119), np.float64(0.9485712210897399), np.float64(0.9598633837717128), np.float64(0.948571221089734), np.float64(0.9321850144114063), np.float64(0.9908155055201271), np.float64(0.9908155055201255), np.float64(0.8072632929444585), np.float64(0.9977510849503964), 0.0, 0.0]",117.0,0.0,0.0,0.07125367178658815,"[0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.07125367178658815), np.float64(0.07125366197233585), 0.0, 0.0, 0.0, 0.0]",843.0
BIOMD0000000018,20,47,0,1000,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",102.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",680.0
BIOMD0000000019,93,125,0,1000,0.0,0.0,2.220446049250313e-16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",23.0,0.0,0.08096666303656808,0.9999756308509145,"[np.float64(0.9999756308509145), np.float64(0.9994893235005511), np.float64(0.9972130345971271), np.float64(0.9987185541313842), 0.0, 0.0, np.float64(0.8066757486344793), np.float64(0.08096666303656808), np.float64(0.08096666303656808), 0.0, 0.0, np.float64(0.08096666303656808), np.float64(0.988012742458291), np.float64(0.999602985711915), np.float64(0.08096666303656808), 0.0, np.float64(0.08096666303656808), 0.0, np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.9999447282779483), np.float64(0.8550028082422365), np.float64(0.9999447311235027), np.float64(0.8642947541321764), np.float64(0.9760843150285105), np.float64(0.9373302761413461), 0.0, 0.0, np.float64(0.999944730403694), np.float64(0.9447780410512812), np.float64(0.9248626840636466), np.float64(0.9545392810218247), np.float64(0.9635620793181965), np.float64(0.9690132479025367), np.float64(0.9972144526296225), 0.0, 0.0, 0.0, np.float64(0.9673770657536827), 0.0, 0.0, 0.0, np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), 0.0, 0.0, np.float64(0.08096666303656808), 0.0, np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), np.float64(0.08096666303656808), 0.0, np.float64(0.08096666303656808), 0.0, 0.0, np.float64(0.08096666303656808), 0.0, 0.0, 0.0, np.float64(0.08096666303656808)]",1473.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
