model_name,threshold,r2_-50_min,r2_-50_med,r2_-50_max,r2_-20_min,r2_-20_med,r2_-20_max,r2_-10_min,r2_-10_med,r2_-10_max,r2_-05_min,r2_-05_med,r2_-05_max,r2_0_min,r2_0_med,r2_0_max,r2_+05_min,r2_+05_med,r2_+05_max,r2_+10_min,r2_+10_med,r2_+10_max,r2_+20_min,r2_+20_med,r2_+20_max,r2_+50_min,r2_+50_med,r2_+50_max
BIOMD0000000003,0.01,0.0,0.7993090261790515,0.8323859141887965,0.0,0.957827539249246,0.9748338054341033,0.2231138154712212,0.9740918525868671,0.9860949991437014,0.3113161392615617,0.9773988906223968,0.9881774195770984,0.380047555317818,0.9777294579089352,0.9882357177733632,0.4340337933399261,0.9751989350581384,0.986438488606377,0.476696358311684,0.9698970198419782,0.9829083720069072,0.5374877901732886,0.951216897683824,0.9709803197767178,0.6144451917606837,0.8323403309312283,0.898955317763752
BIOMD0000000004,0.01,0.0,0.7757333385846924,0.8986616187236598,0.0,0.8367394497289202,0.90898303214706,0.0,0.851558742777537,0.915085861683706,0.0009835757662411,0.8582680686473109,0.918379965616048,0.0,0.86454797582798,0.9217699948109356,0.0,0.8704173775541328,0.9252121749460138,0.0,0.8758894563862819,0.9286694703298431,0.0,0.885672176248348,0.935503260151788,0.0,0.9057267961815064,0.9537447308547382
BIOMD0000000005,0.01,0.0,0.0,0.9584755266039297,0.0,0.0,0.9940693403927058,0.0,0.0,0.9977508701431036,0.0,0.0,0.9984575767602,0.0,0.4897968339268501,0.9982609714344568,0.0,0.0,0.9972247048054924,0.0,0.0,0.9953842721713808,0.0,0.0,0.9896297672222808,0.0,0.0,0.0
BIOMD0000000008,0.01,0.0,0.0,0.9913120289375232,0.0,0.0005539959093278,0.9989117698455896,0.0,0.0193573881644943,0.999748060964604,0.0,0.0240581517382704,0.9999393854298988,0.0,0.9999995158899084,0.99999999925387,0.0,0.0240580604409796,0.9999429651413464,0.0,0.0193570827607691,0.9997802897840716,0.0,0.0005532319821685,0.9991798488885336,0.0,0.0,0.9957656590997228
BIOMD0000000012,0.01,0.0,0.4827439878780229,0.9701807002861396,0.0,0.4823457503983304,0.9704098794787016,0.0,0.4819584816255367,0.9712111096833383,0.0,0.4819004346817944,0.9717625521195472,0.0,0.4819902911040733,0.972085050972864,0.0,0.4821267520877087,0.9721990108189628,0.0,0.4821408393387327,0.9721876260929228,0.0,0.4814140924759607,0.9720573716207758,0.0,0.4801654794169283,0.9719445699798944
BIOMD0000000013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6886656445013752,0.0,0.605824386618508,0.9242827917001524,0.957541862835248,0.9993483737702517,0.9999733764631366,0.0,0.7703921468666298,0.9338495216769528,0.0,0.1910364309270387,0.7628919564083939,0.0,0.0,0.4146014872419843,0.0,0.0,0.0
BIOMD0000000014,0.01,0.0,0.0,0.984101382159638,0.0,0.0,0.8279978426243941,0.0,0.0,0.7430585334203853,0.0,0.0,0.7029492692861707,0.0,0.2929374503902739,0.6648526812963843,0.0,0.0,0.6288673659009772,0.0,0.0,0.5949903143095034,0.0,0.0,0.5655763215314613,0.0,0.0,0.6864050515925144
BIOMD0000000015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5670093000963448e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000017,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3429860683391085,0.0,0.7463749976085581,0.8201285155569764,0.0,0.94857122108974,0.9977510849503964,0.0,0.790998214600934,0.8696310559592171,0.0,0.2499594758977511,0.6728873370917128,0.0,0.0,0.1317537278670338,0.0,0.0,0.0
BIOMD0000000019,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5817238891743266e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000021,0.01,0.0,0.9999995111298828,0.9999999999996236,0.0,0.9999995111298828,0.9999999999996236,0.0,0.9999995111298828,0.9999999999996236,0.0,0.9999995111298828,0.9999999999996236,0.0,0.9999995111298828,0.9999999999996236,0.0,0.9999995111298828,0.9999999999996236,0.0,0.9999995111298828,0.9999999999996236,0.0,0.9999995111298828,0.9999999999996236,0.0,0.9999995111298828,0.9999999999996236
BIOMD0000000022,0.01,0.8283524708410666,0.9485328617927216,0.976373408141407,0.8297061875558085,0.94794853861673,0.9778712388790706,0.8270331460561873,0.9489682888771248,0.9772097233837572,0.8284124177835022,0.9488809629150532,0.976599541727432,0.8312196001251568,0.9486299079888934,0.9764180811892827,0.8309556287406092,0.9483777655171242,0.9768075931328826,0.8255619417167438,0.9475806616285068,0.9776071451022368,0.8248003201552978,0.946151966639924,0.9776220840294044,0.8304965594608565,0.9464290181425562,0.9747918234385172
BIOMD0000000026,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3840452895104432,0.0,0.0,0.7487847977277557,0.0,0.0,0.8692932189858918,0.0,0.0,0.8113035591264258,0.0,0.0,0.6240129497796769,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000027,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000028,0.01,0.0,0.0,0.0,0.0,0.0,0.0166288935319793,0.0,0.0,0.9301941091381176,0.0,0.0,0.9752213589408214,0.0,0.0,0.8387054116134316,0.0,0.0,0.5680324963169121,0.0,0.0,0.1986654703062707,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000029,0.01,0.0,0.0,0.9258377674953052,0.0,0.0,0.995198128797913,0.0,0.0,0.9990100882968987,0.0,0.0,0.9997580718920168,0.0,0.0,0.9999948609204384,0.0,0.0,0.9998516158542484,0.0,0.0,0.9994257354610804,0.0,0.0,0.9980002052404996,0.0,0.0,0.991794078487003
BIOMD0000000030,0.01,0.0,0.0,0.0,0.0,0.0,0.2212184500832215,0.0,0.0,0.7244443711086623,0.0,0.0,0.8410873373063839,0.0,0.0,0.8996062456040587,0.0,0.0,0.9155722852765024,0.0,0.0,0.900315785176699,0.0,0.0,0.8073294242107556,0.0,0.0,0.3211340886088243
BIOMD0000000038,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1548964471481053,0.6321631210200032,0.9023750852011037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000039,0.01,0.0,0.0,0.0,0.0,0.0,0.7330524675007822,0.0,0.2033670057574416,0.9179787303710344,0.2564500659657117,0.5954929897584635,0.9638667637708668,0.4121962228261082,0.78031969814977,0.9814309971182296,0.2277901211681048,0.5902995969501765,0.959326279622038,0.0,0.0,0.8691132395943735,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000041,0.01,0.0,0.0,0.9999980637883924,0.0,0.0,0.9999993684885088,0.0,0.0,0.9999995098100696,0.0,0.0,0.99999955862309,0.0,0.8332028005438372,0.9999995973094618,0.0,0.0083082369901963,0.9999996278129194,0.0,0.0,0.9999996514014337,0.0,0.0,0.999999683086589,0.0,0.0,0.9999997023763222
BIOMD0000000042,0.01,0.0,0.0,0.4268012205953093,0.0,0.0,0.6374166108560952,0.0,0.0,0.8015493900810731,0.0,0.0,0.9536840400844616,0.0,0.6708347429678817,0.9844692907248356,0.0,0.0,0.8337705583613906,0.0,0.0,0.8555146683046246,0.0,0.0,0.884055694339269,0.0,0.0,0.9228596103552986
BIOMD0000000043,0.01,0.0,0.0,0.900735544819366,0.0,0.0,0.9374693964080888,0.0,0.0,0.94362203149711,0.0,0.0,0.9460987219889324,0.9483172379726048,0.9999999222946524,0.9999999255602832,0.0,0.0,0.9502535386307904,0.0,0.0,0.9519902262398728,0.0,0.0,0.9550055330355096,0.0,0.0,0.9612685362674624
BIOMD0000000046,0.01,0.0,0.0,0.6532639889842902,0.0673994254116006,0.5600299504093695,0.8729088806962373,0.4340779287251742,0.6534554102627859,0.913822199907037,0.3901120188490946,0.6450302322295922,0.9165888566665554,0.3399281604799591,0.6456572262831537,0.9050371414944504,0.285267732013164,0.656931549248262,0.8830839306510831,0.2304877820869009,0.6630900240960141,0.866865781298228,0.0992218114375973,0.6270413636219423,0.8464180993974458,0.0,0.3867536303048398,0.7645643049080064
BIOMD0000000050,0.01,0.0,0.0,0.999999996844367,0.0,0.0,0.9999999987384044,0.0,0.0,0.9999999989592556,0.0,0.0,0.9999999990447628,0.0,0.0,0.9999999991151192,0.0,0.0,0.9999999991747356,0.0,0.0,0.9999999992246064,0.0,0.0,0.999999999302346,0.0,0.0,0.9999999994004716
BIOMD0000000051,0.01,0.0,0.0,0.6320604688024024,0.0,0.1845384712865549,0.8322447542565339,0.0,0.608640893370683,0.9645709821002156,0.0,0.7493523838934258,0.9914544551434178,0.0,0.749238089863344,0.9996149581413692,0.0,0.696816909562092,0.9924927162108343,0.0,0.5441071134541043,0.9722374439674096,0.0,0.0,0.8947552937537736,0.0,0.0,0.4331787292274672
BIOMD0000000053,0.01,0.0,0.0,0.1901984967074983,0.0,0.0,0.0953634333541179,0.0,0.0,0.0766790639853046,0.0,0.0,0.0690679892518917,0.0,0.0,0.0624550216077047,0.0,0.0,0.0567469094522348,0.0,0.0,0.0518443136449647,0.0,0.0,0.0441753659618245,0.0,0.0,0.0340836201648621
BIOMD0000000054,0.01,0.0,0.0,0.6419744662913593,0.0,0.0,0.9576013626384172,0.0,0.0,0.9755219188278866,0.0,0.0,0.9825414349304132,0.0,0.0,0.9886234492000532,0.0,0.0,0.9933191330286174,0.0,0.0,0.995173783378504,0.0,0.0,0.9712257233366884,0.0,0.0,0.0
BIOMD0000000057,0.01,0.0,0.997027032147122,0.9997996365139862,0.0,0.9991951348580216,0.9997996370918092,0.0,0.99926642316758,0.9997996373526792,0.0,0.9992777332812018,0.999799636851676,0.0,0.9992810576845652,0.9997996373927696,0.0,0.9992784456335256,0.9997996371335544,0.0,0.9992714681616124,0.9997996367634516,0.0,0.9992486707185309,0.9997996392375188,0.0,0.9990853168829186,0.9997996389036566
BIOMD0000000058,0.01,0.0,0.3289229760955062,0.6939329300004631,0.0,0.2533733721944791,0.7498850779350723,0.1010525835238117,0.5781010441582861,0.9754808669874726,0.2997280450141938,0.8330334679972821,0.9923907182540432,0.2760106196569108,0.8877666912438591,0.9966705138170042,0.2399295080192254,0.8628292030350015,0.9923691184550436,0.189480220351447,0.8141016289108396,0.9770307360039592,0.0,0.6902580019966691,0.8916492493398677,0.0,0.0,0.2722391441720226
BIOMD0000000060,0.01,0.5318203039009444,0.5376009504684015,0.998479769526682,0.5321967819839222,0.5382978200899237,0.998479891687463,0.5321967827871386,0.5383643081024245,0.9984797613891184,0.5321968172657046,0.5383832086486566,0.9984798080692634,0.5321967046295659,0.5383955282547744,0.9984797867014816,0.532196837268441,0.5384030352170641,0.9984799641939524,0.5321965964295403,0.5384065670539059,0.9984799602069914,0.532196830815677,0.5384059773771633,0.9984798553896688,0.5321970717302009,0.5383726545312939,0.9984799943683554
BIOMD0000000063,0.01,0.0,0.0,0.9103502113228318,0.0,0.7625412938194334,0.9772432184888884,0.0,0.9164689600615032,0.9829368874230604,0.0,0.8785509209447258,0.9719899091430052,0.0,0.9996932458117728,0.9999824217192972,0.0,0.0,0.8865680606389917,0.0,0.0,0.7919087988557225,0.0,0.0,0.5355717555454136,0.0,0.0,0.0
BIOMD0000000065,0.01,0.0,0.9998127905195708,0.9999990230978556,0.0,0.9997410429087612,0.9999989788996596,0.0,0.9997350780761476,0.9999989959014816,0.0,0.999735110454198,0.999999005478454,0.0,0.9997366515099384,0.9999990167768374,0.0,0.9997393550910664,0.9999990275686832,0.0,0.9997429165819718,0.999999037860986,0.0,0.9997518440439088,0.999999058455205,0.0,0.9997835726057416,0.9999991058588616
BIOMD0000000066,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000067,0.01,0.0,0.0752222697176546,0.9999999608482832,0.0,0.0752222697176546,0.9999999608482832,0.0,0.0752222697176546,0.9999999608482832,0.0,0.0752222697176546,0.9999999608482832,0.0,0.0752222697176546,0.9999999608482832,0.0,0.0752222697176546,0.9999999608482832,0.0,0.0752222697176546,0.9999999608482832,0.0,0.0752222697176546,0.9999999608482832,0.0,0.0752222697176546,0.9999999608482832
BIOMD0000000069,0.01,0.0,0.0,0.0,0.0,0.3035789727937715,0.9088766739005654,0.3565592011156103,0.6091533136950193,0.9810433541471087,0.7661364939164071,0.8592459963825725,0.996725688286492,0.9399231937582004,0.9815859142542736,0.9994607501308058,0.8305764473276845,0.8781515295849517,0.9898035738373044,0.2786029273749435,0.4544857448800249,0.9685955280685232,0.0,0.0,0.895907349839025,0.0,0.0,0.5261889301048867
BIOMD0000000070,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306579069984194,0.0,0.5189178147927457,0.9769957573138444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000072,0.01,0.0,0.0,0.0,0.0,0.5391729106189372,0.8828377515598578,0.0,0.8598152436441748,0.9766543895967092,0.0,0.9386766480661456,0.9934659127614236,0.0871757532075653,0.9816256751038378,0.9980630737826768,0.0,0.9939602934399446,0.9978199452996204,0.0,0.9835228454292644,0.9940151923482186,0.0,0.94530924040176,0.9493894498121044,0.0,0.652750328426486,0.7762177136355619
BIOMD0000000073,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.374701794735871e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000074,0.01,0.0,0.1519982596543326,0.9999999999996886,0.0,0.1519982596543326,0.9999999999996886,0.0,0.1519982596543326,0.9999999999996886,0.0,0.1519982596543326,0.9999999999996886,0.0,0.1519982596543326,0.9999999999996886,0.0,0.1519982596543326,0.9999999999996886,0.0,0.1519982596543326,0.9999999999996886,0.0,0.1519982596543326,0.9999999999996886,0.0,0.1519982596543326,0.9999999999996886
BIOMD0000000076,0.01,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152,0.9989358364509152
BIOMD0000000078,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.118596962423339e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000081,0.01,0.0,0.0,0.3759786061164536,0.0,0.0,0.3759785543989195,0.0,0.0,0.3759785434067765,0.0,0.0,0.8150994027967001,0.0,0.012046360672419,0.9691082829265067,0.0,0.0,0.8477112842698287,0.0,0.0,0.5402615692300106,0.0,0.0,0.3759785295955722,0.0,0.0,0.3759784876895833
BIOMD0000000083,0.01,0.0,0.1519575039499309,0.999999999999904,0.0,0.1519575039499309,0.999999999999904,0.0,0.1519575039499309,0.999999999999904,0.0,0.1519575039499309,0.999999999999904,0.0,0.1519575039499309,0.999999999999904,0.0,0.1519575039499309,0.999999999999904,0.0,0.1519575039499309,0.999999999999904,0.0,0.1519575039499309,0.999999999999904,0.0,0.1519575039499309,0.999999999999904
BIOMD0000000084,0.01,0.5434536328834938,0.7832622874313258,0.9889134393522736,0.7862919088818738,0.9409085510286226,0.9962467312964828,0.8227143634535464,0.9624752929658896,0.9964359330617614,0.8365335152149844,0.9674350205980132,0.9963817993352848,0.8479293120992986,0.9683187371165076,0.9962470639065084,0.8571621382404359,0.9650706402736222,0.9960394768367554,0.864423553713787,0.9578152599841252,0.9957637453601408,0.8735334211145451,0.9333841053447428,0.9950164656613196,0.7444163668979553,0.8779664150208168,0.991130573290195
BIOMD0000000087,0.01,0.0,0.0,0.0,0.0,0.0,0.323573285736306,0.0,0.0,0.5958248271041169,0.0,0.0,0.5806316880288589,0.0,0.0,0.5466058677007366,0.0,0.0,0.511670128680515,0.0,0.0,0.4729884957618464,0.0,0.0,0.4320905456311675,0.0,0.0,0.2414313357858876
BIOMD0000000088,0.01,0.0,0.0,0.8442733334076078,0.0,0.0,0.9698726219284608,0.0,0.0186244741064643,0.9929203925133884,0.0,0.0244260543828916,0.9964649417522968,0.0,0.026372225450408,0.99893603998111,0.0,0.0241481494734805,0.9959618222149244,0.0,0.0174166878745858,0.9938213985295776,0.0,0.0,0.9885217962413062,0.0,0.0,0.978607541464638
BIOMD0000000090,0.01,0.0,0.2857759403377693,0.9054374486161046,0.0,0.0,0.9513182973410244,0.0,0.3167736294463901,0.992437402122867,0.0,0.5495490972233708,0.998726093451421,0.0,0.7573126382867325,0.9999590887488048,0.0,0.4415645522122718,0.9993460296463887,0.0,0.0387835991986339,0.9976313390047968,0.0,0.0,0.9896690464651674,0.0,0.0,0.962320360284166
BIOMD0000000091,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.714314332712519e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000093,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000094,0.01,0.0,0.0,0.979738550862401,0.0,0.0,0.974009822181631,0.0,0.0,0.9946222458840096,0.0,0.0,0.9982439065966254,0.0,0.3250923304717351,0.9990441012903044,0.0,0.0,0.9963794566309688,0.0,0.0,0.9907246990794524,0.0,0.0,0.9706533440694696,0.0,0.0,0.927496963648757
BIOMD0000000095,0.01,0.0,0.6489698835327478,0.9986443618090156,0.0,0.9909635919102164,0.9994029670534892,0.0,0.9915623049180496,0.9994770294817528,0.0,0.9927564986148808,0.9998723977917224,0.0,0.9983093841361376,0.9999886536032746,0.0,0.9950892212390008,0.9998619407847542,0.0,0.9947189727090966,0.9996221414330348,0.0,0.9935690819376132,0.9995594397567108,0.0,0.9849877447168376,0.9995495341961804
BIOMD0000000096,0.01,0.0,0.9735953568234312,0.9997937185755572,0.6995347723944392,0.9846417699416108,0.9998497703228048,0.8776764949972706,0.9919248301002414,0.9998743904366222,0.915246516396699,0.9961228370324432,0.9998919121588032,0.9149265556633674,0.9977366147779488,0.9999308456068356,0.89303567287243,0.9949379447694352,0.999930306006,0.845207056118655,0.9914708350797772,0.9999463869548874,0.5254473010084677,0.990011878993416,0.9999582652207069,0.0,0.95949786687086,0.9997320931328952
BIOMD0000000097,0.01,0.0,0.0,0.9917846396411324,0.0,0.9789221917955,0.9994455923109982,0.2910742799636228,0.9904880283826012,0.9996474325190902,0.5643458194142958,0.9913147431599194,0.9996407588978932,0.8131456638180271,0.9937554391985138,0.999965586246414,0.330915059926423,0.9913903775137072,0.9995295634358626,0.0,0.9823646039450856,0.9994032544986814,0.0,0.9672175006508388,0.9993562421952537,0.0,0.956897132644842,0.9990584689877438
BIOMD0000000099,0.01,0.0,0.9811112460533568,0.999999610981344,0.0,0.994202704620082,0.9999993364279902,0.7182464321212835,0.997764600273941,0.9999991916104646,0.9410104434583336,0.9993236977326148,0.999999105564512,0.9994216621728712,0.9999659531058678,0.999999050789265,0.9548596279282756,0.9994347936515592,0.9999990528834132,0.8324917210530071,0.99797991573029,0.9999990531549484,0.4350732603381729,0.9930367753146456,0.9999990729720618,0.0,0.9685878714866726,0.9999993062186816
BIOMD0000000101,0.01,0.0,0.0,0.9865713627905702,0.0,0.3039864602382471,0.9941476822357715,0.0,0.7737414083013485,0.996500504819419,0.0,0.860216184056202,0.9991927105134027,0.0,0.9979890531973656,0.999999998870976,0.0,0.8933944068088788,0.9993354324102878,0.0,0.8848163786741503,0.9976119777516104,0.0,0.8537686136444509,0.9970357076902008,0.0,0.7561835790351848,0.9979201684467064
BIOMD0000000102,0.01,0.0,0.0,0.8670410254248198,0.0,0.0,0.9923182468377408,0.0,0.0,0.9539783336891224,0.0,0.0,0.9301129725764196,0.0,0.0,0.9999999981224648,0.0,0.0,0.9493822325580638,0.0,0.0,0.8259530087315997,0.0,0.0,0.7178783794034685,0.0,0.0,0.4855379599553219
BIOMD0000000103,0.01,0.0,0.0,0.95807119483152,0.0,0.0,0.9767861499079328,0.0,0.0,0.9553133678864536,0.0,0.0,0.98725531621718,0.0,0.0,0.9999999989748876,0.0,0.0,0.9954126755669224,0.0,0.0,0.9819798110190048,0.0,0.0,0.9357367934113612,0.0,0.0,0.7421428310177877
BIOMD0000000105,0.01,0.0,0.0,0.011270570272318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365427494029741,0.0,2.813361765774402e-10,0.1004112344695169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000107,0.01,0.0,0.8496018748864104,0.9999999999628884,0.0,0.98445873322635,0.999999999959862,0.0,0.9966750604479616,0.9999999999801884,0.0,0.9992199857673628,0.9999999999781845,0.0,0.9999612704661164,0.999999999946056,0.0,0.9987300551639364,0.9999999999466463,0.0,0.9958020415367024,0.9999999999796552,0.0,0.9854290156762884,0.9999999999843638,0.0,0.9264993920766424,0.999999999975532
BIOMD0000000108,0.01,0.0,0.0,0.9999992668938212,0.0,0.0,0.9999991717645932,0.0,0.0,0.9999990333383858,0.0,0.0,0.9999990549173984,0.0,0.0,0.9999992184279662,0.0,0.0,0.99999898839129,0.0,0.0,0.9999990085571618,0.0,0.0,0.9999990026954368,0.0,0.0,0.999998904618108
BIOMD0000000112,0.01,0.0,0.0,0.8321285953452895,0.0,0.2781569191715224,0.9513002992260016,0.0,0.7423810078383488,0.9996436396755556,0.0,0.8675184982668135,0.9922728433796026,0.0,0.8699316523597094,0.9973572862957116,0.0,0.7170847594096317,0.9954437123287606,0.0,0.3646209387242762,0.9871430623742696,0.0,0.0992063162592298,0.9576118758468596,0.0,0.0,0.8705441075298467
BIOMD0000000113,0.01,0.0,0.0,0.6888106204990123,0.0,0.17071675627379,0.9321212199775902,0.0211249431410189,0.2042512830450944,0.9734274767372868,0.0312594844893387,0.2229531670634033,0.9823514941949876,0.0273064296379762,0.2227352822615867,0.9859557115400908,0.0216371620035638,0.2194622783831016,0.9821694927390848,0.0165337876178895,0.2176095027653912,0.97108949644467,0.0083559260967528,0.2187276066892753,0.9279465362562676,0.0,0.2092056300311938,0.6437861625123253
BIOMD0000000116,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000126,0.01,0.0,0.0,0.9933951832541416,0.0,0.8032016467115796,0.9933951832903932,0.0,0.9387379154537302,0.9974426621718891,0.0,0.9641626654936916,0.9994242099507382,0.0,0.97101243367721,0.9999974435374956,0.0,0.9641220418514282,0.9995281981837492,0.0,0.9470687581044616,0.998287218500564,0.0,0.8925000321569163,0.994249186743714,0.0,0.6616786365377502,0.9933951832956692
BIOMD0000000143,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9622580671452283e-08,8.630793539965431e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMD0000000146,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.872325070654938e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
